,LSOA21CD,IMD_decile,Percent no qualifications 16 and over,Percent bad and very band health,Population density per km,Percent lone family household
20743,E01021844,4,21.5234721,5.464868701,23101.1,9.461426492
20744,E01021845,3,23.17073171,7.234042553,19600.8,7.310344828
20745,E01021846,2,22.34042553,5.925925926,17943.2,4.355716878
20746,E01021847,5,25.61284869,6.711864407,16256.9,3.209876543
20747,E01021848,3,19.882276,5.566905005,17370.8,6.25
20748,E01021849,4,25.3030303,6.164789567,25732.7,8.677098151
20749,E01021850,3,25.02172024,6.186267845,9150.7,3.617945007
20750,E01021851,3,20.59679767,4.520089286,3169.2,5.555555556
20751,E01021852,4,21.95306586,5.967450271,10679.5,4.151404151
20752,E01021853,5,19.22043011,4.722222222,7778.3,4.825737265
20753,E01021854,5,16.35254989,4.153498871,19436.8,9.298780488
20754,E01021855,6,20.98569157,5.609284333,31549.5,12.96296296
20755,E01021856,6,19.9354318,4.50928382,21079.8,8.566108007
20756,E01021858,4,19.92156863,6.363636364,9477.3,7.475083056
20757,E01021859,3,24.81389578,6.5684469,4397.1,2.448979592
20758,E01021860,3,25.30512612,5.742821473,9655,7.1875
20759,E01021861,5,15.27138914,4.601648352,25111.5,8.802816901
20760,E01021862,4,23.63636364,5.499367889,25723.5,7.525325615
20761,E01021863,4,25.01855976,5.322763307,31929.5,8.185053381
20762,E01021864,3,26.40545145,6.237816764,7598.8,8.035714286
20763,E01021865,4,23.91696751,5.654974946,7300.2,1.745200698
20764,E01021866,4,22.46575342,5.62546262,11078.7,2.685624013
20765,E01021867,8,19.39345571,3.884795713,7763.2,3.765227021
20766,E01021868,4,22.2392638,6.181818182,20647.8,7.966101695
20767,E01021869,5,23.42342342,4.571428571,12586.6,4.60385439
20768,E01021870,4,20.11019284,5.63583815,22010.7,6.666666667
20769,E01021871,3,25.14919011,8.167330677,11986.7,4.512195122
20770,E01021873,6,24.18803419,5.200594354,4086.1,3.722084367
20771,E01021874,4,21.47435897,5.430463576,3166.7,4.842931937
20772,E01021875,6,26.17246596,6.477732794,10647.7,4.161566707
20773,E01021878,8,26.07204117,5.197657394,9424.1,6.136680614
20774,E01021879,6,19.05564924,4.927133935,24017.1,7.894736842
20775,E01021880,5,22.70114943,7.67778477,8909.2,3.579952267
20776,E01021881,7,18.71165644,4.757709251,16666.7,5.263157895
20777,E01021882,7,19.25601751,4.075961093,18433.1,5.749486653
20778,E01021883,8,15.12231282,3.697183099,27534.6,7.518796992
20779,E01021884,6,19.94680851,4.731182796,13876.7,2.549019608
20780,E01021885,9,15.24896266,3.853046595,22642.9,4.377880184
20781,E01021886,8,17.07498144,4.911838791,17883.6,7.162162162
20782,E01021887,9,14.84334874,3.502776591,6002.8,2.669404517
20783,E01021888,3,24.65681098,5.87758411,5767.6,4.178272981
20784,E01021889,4,22.33057045,5.952856572,6378.7,5.686546463
20785,E01021890,4,21.16129032,4.748757592,5772,9.238451935
20786,E01021891,8,20.60785767,5.928853755,10831.1,3.232323232
20787,E01021892,3,25.57603687,6.284658041,3228,4.661654135
20788,E01021893,10,14.18269231,3.769705278,5576.6,6.08974359
20789,E01021894,5,20.8,7.241659886,4820.2,4.851752022
20790,E01021895,6,20.89397089,3.481288077,6065.4,7.667731629
20791,E01021896,8,12.8409847,2.615803815,6998.6,7.52688172
20792,E01021897,9,18.34381551,4.239631336,5009.3,4.212454212
20793,E01021898,7,23.3151184,7.086614173,7516.3,7.118644068
20794,E01021899,7,21.80385289,4.574696212,7527.9,5.24911032
20795,E01021900,5,19.80728051,4.787234043,5847.3,13.47905282
20796,E01021901,4,21.28315854,5.356214249,9395.3,6.009244992
20797,E01021902,8,14.10736579,3.418803419,10776.6,10.97560976
20798,E01021903,6,18.767507,3.266787659,11368.6,8.823529412
20799,E01021904,6,19.83880967,4.536489152,12743.6,6.997742664
20800,E01021905,4,24.29543246,5.246422893,4932.7,7.610619469
20801,E01021906,5,21.45564822,7.068741894,8870.1,7.749627422
20802,E01021907,3,21.01747174,5.703259005,12385.6,7.560627675
20803,E01021908,6,14.77404403,3.066602779,10485.3,9.821428571
20804,E01021909,5,20,5.202702703,11981.4,6.12244898
20805,E01021910,4,16.87732342,3.505535055,7308.2,5.812220566
20806,E01021911,8,16.75438596,3.715170279,11608.5,7.907742998
20807,E01021912,9,13.18742985,3.980815348,11576.6,8.785942492
20808,E01021913,6,14.70149254,3.862928349,6131.7,8.320251177
20809,E01021914,8,19.16618413,4.083665339,11665.5,8.660130719
20810,E01021915,4,24.67419635,4.41826215,11129.4,8.539944904
20811,E01021916,6,18.0952381,3.456790123,7238.2,3.66598778
20812,E01021917,5,21.39439508,3.976945245,9213.7,8.146067416
20813,E01021918,10,13.91880696,3.032345013,4646.5,4.479578393
20814,E01021919,10,15.79414374,2.232142857,6195.2,6.141522029
20815,E01021920,6,18.11385854,3.055175559,14625.6,4.755944931
20816,E01021921,5,20.68390325,6.29705681,8337.7,7.00525394
20817,E01021922,4,30.38842346,8.078880407,8645.5,7.384987893
20818,E01021923,7,19.3989071,3.471698113,13078,6.659012629
20819,E01021924,7,12.83643892,2.504082744,13189.1,5.330243337
20820,E01021925,9,16.44031451,3.299340132,8535.3,9.812409812
20821,E01021926,9,16.56662665,2.53709909,9060.4,5.981308411
20822,E01021927,9,18.78612717,3.010577705,11952.6,5.940594059
20823,E01021928,7,21.49019608,4.551539491,12633.1,9.777777778
20824,E01021929,9,12.62509623,2.43902439,14088.3,6.910569106
20825,E01021930,6,17.83783784,4.939209726,13579.5,8.545034642
20826,E01021931,8,22.30710466,4.287515763,13757,7.485604607
20827,E01021932,7,19.13875598,3.968770332,10756.5,5.119453925
20828,E01021933,8,14.63104326,3.046953047,9646.7,6.990291262
20829,E01021934,10,17.80821918,3.225806452,10166.5,6.510851419
20830,E01021935,10,18.26401447,3.813882532,8571.4,9.175738725
20831,E01021936,8,19.15194346,6.137184116,13230.1,5.115089514
20832,E01021937,9,14.5468393,4.113924051,7387.5,7.283464567
20833,E01021938,10,19.33744222,4.276315789,10811.3,6.474820144
20834,E01021939,10,19.25287356,3.875968992,7320.7,10.48387097
20835,E01021940,10,17.16507177,4.463390171,10438.1,8.913043478
20836,E01021941,10,12.93743372,2.246220302,13478.9,5.965463108
20837,E01021942,4,36.67752443,8.237431859,6883.9,10.24498886
20838,E01021943,8,22.21438646,5.398920216,11604.9,8.103448276
20839,E01021944,9,22.94034091,3.830041891,4988.3,6.21761658
20840,E01021945,9,20.53771471,4.5,5668.9,6.44028103
20841,E01021946,10,16.68016194,3.708698584,11391.3,6.286379511
20842,E01021947,9,18.359375,3.327922078,8459.4,7.80730897
20843,E01021948,9,18.74386654,3.816199377,9658,6.105610561
20844,E01021949,9,17.82094595,3.184281843,3786.8,10.42584435
20845,E01021950,7,20.49956934,4.290657439,8463.5,5.637583893
20846,E01021951,9,16.92015209,3.220738413,9344.8,5.153374233
20847,E01021952,8,18.63453815,4.002713704,10420.2,7.610146862
20848,E01021953,1,24.10358566,7.393577296,9546,16.17391304
20849,E01021954,6,14.13092551,4.047870468,14001.3,9.346991037
20850,E01021955,2,24.84429066,7.347876005,8302.9,6.790123457
20851,E01021956,4,26.08333333,7.01754386,9002.8,3.666666667
20852,E01021957,4,22.9580574,5.20163647,15000,5.050505051
20853,E01021958,10,14.24242424,3.010577705,13604.8,7.164634146
20854,E01021959,8,15.02276176,3.227771011,29975.9,5.587668593
20855,E01021960,10,15.8172232,3.091265947,6128,6.936416185
20856,E01021961,10,21.37126185,5.210295041,13333.3,6.745362563
20857,E01021962,4,23.21428571,8.077544426,5601.2,11.95652174
20858,E01021963,10,14.89741302,3.420669578,14532.8,7.664233577
20859,E01021964,9,16.27554883,3.965303594,12958.1,7.566765579
20860,E01021965,10,20.1417004,3.417343016,10324.6,7.625649913
20861,E01021966,7,24.10291131,6.514285714,10117,7.774390244
20862,E01021967,7,17.51219512,4.305442729,12300.9,6.48011782
